MPN,Package,DCR,Current,Impedance
BLM18HD601SH1,0603,1.5,100mA,600-OHM @ 100MHz
BLM18HD601SN1,0603,1.5,100mA,600-OHM @ 100MHz
BLM18HD601SZ1,0603,1.5,100mA,600-OHM @ 100MHz
BLM18HE102SH1,0603,0.35,600mA,1000-OHM @ 100MHz
BLM18HE102SN1,0603,0.35,600mA,1000-OHM @ 100MHz
BLM18HE102SZ1,0603,0.35,600mA,1000-OHM @ 100MHz
BLM18HE152SH1,0603,0.5,500mA,1500-OHM @ 100MHz
BLM18HE152SN1,0603,0.5,500mA,1500-OHM @ 100MHz
BLM18HE152SZ1,0603,0.5,500mA,1500-OHM @ 100MHz
BLM18HE601SH1,0603,0.25,800mA,600-OHM @ 100MHz
BLM18HE601SN1,0603,0.25,800mA,600-OHM @ 100MHz
BLM18HE601SZ1,0603,0.25,800mA,600-OHM @ 100MHz
BLM18HG102SH1,0603,1.6,100mA,1000-OHM @ 100MHz
BLM18HG102SN1,0603,1.6,100mA,1000-OHM @ 100MHz
BLM18HG102SZ1,0603,1.6,100mA,1000-OHM @ 100MHz
BLM18HG471SH1,0603,0.85,200mA,470-OHM @ 100MHz
BLM18HG471SN1,0603,0.85,200mA,470-OHM @ 100MHz
BLM18HG471SZ1,0603,0.85,200mA,470-OHM @ 100MHz
BLM18HG601SH1,0603,1,200mA,600-OHM @ 100MHz
BLM18HG601SN1,0603,1,200mA,600-OHM @ 100MHz
BLM18HG601SZ1,0603,1,200mA,600-OHM @ 100MHz
BLM18HK102SN1,0603,1.5,50mA,1000-OHM @ 100MHz
BLM18HK331SN1,0603,0.5,200mA,330-OHM @ 100MHz
BLM18HK471SN1,0603,0.7,200mA,470-OHM @ 100MHz
BLM18HK601SN1,0603,0.9,100mA,600-OHM @ 100MHz
BLM18KG101JH1,0603,0.03,1.9A,100-OHM @ 100MHz
BLM18KG101TH1,0603,0.03,3A,100-OHM @ 100MHz
BLM18KG101TN1,0603,0.03,3A,100-OHM @ 100MHz
BLM18KG101TZ1,0603,0.03,3A,100-OHM @ 100MHz
BLM18KG102BH1,0603,0.2,800mA,1000-OHM @ 100MHz
BLM18KG102SH1,0603,0.2,1A,1000-OHM @ 100MHz
BLM18KG102SN1,0603,0.2,1A,1000-OHM @ 100MHz
BLM18KG102SZ1,0603,0.2,1A,1000-OHM @ 100MHz
BLM18KG121JH1,0603,0.03,1.9A,120-OHM @ 100MHz
BLM18KG121TH1,0603,0.03,3A,120-OHM @ 100MHz
BLM18KG121TN1,0603,0.03,3A,120-OHM @ 100MHz
BLM18KG121TZ1,0603,0.03,3A,120-OHM @ 100MHz
BLM18KG221BH1,0603,0.05,1.5A,220-OHM @ 100MHz
BLM18KG221SH1,0603,0.05,2.2A,220-OHM @ 100MHz
BLM18KG221SN1,0603,0.05,2.2A,220-OHM @ 100MHz
BLM18KG221SZ1,0603,0.05,2.2A,220-OHM @ 100MHz
BLM18KG260JH1,0603,0.007,4A,26-OHM @ 100MHz
BLM18KG260TH1,0603,0.007,6A,26-OHM @ 100MHz
BLM18KG260TN1,0603,0.007,6A,26-OHM @ 100MHz
BLM18KG260TZ1,0603,0.007,6A,26-OHM @ 100MHz
BLM18KG300JH1,0603,0.01,3.3A,30-OHM @ 100MHz
BLM18KG300TH1,0603,0.01,5A,30-OHM @ 100MHz
BLM18KG300TN1,0603,0.01,5A,30-OHM @ 100MHz
BLM18KG300TZ1,0603,0.01,5A,30-OHM @ 100MHz
BLM18KG331BH1,0603,0.08,1.2A,330-OHM @ 100MHz
BLM18KG331SH1,0603,0.08,1.7A,330-OHM @ 100MHz
BLM18KG331SN1,0603,0.08,1.7A,330-OHM @ 100MHz
BLM18KG331SZ1,0603,0.08,1.7A,330-OHM @ 100MHz
BLM18KG471BH1,0603,0.13,1A,470-OHM @ 100MHz
BLM18KG471SH1,0603,0.13,1.5A,470-OHM @ 100MHz
BLM18KG471SN1,0603,0.13,1.5A,470-OHM @ 100MHz
BLM18KG471SZ1,0603,0.13,1.5A,470-OHM @ 100MHz
BLM18KG601BH1,0603,0.15,1A,600-OHM @ 100MHz
BLM18KG601SH1,0603,0.15,1.3A,600-OHM @ 100MHz
BLM18KG601SN1,0603,0.15,1.3A,600-OHM @ 100MHz
BLM18KG601SZ1,0603,0.15,1.3A,600-OHM @ 100MHz
BLM18KG700JH1,0603,0.022,2.2A,70-OHM @ 100MHz
BLM18KG700TH1,0603,0.022,3.5A,70-OHM @ 100MHz
BLM18KG700TN1,0603,0.022,3.5A,70-OHM @ 100MHz
BLM18KG700TZ1,0603,0.022,3.5A,70-OHM @ 100MHz
BLM18KN101EH1,0603,0.03,1.9A,100-OHM @ 100MHz
BLM18KN102EH1,0603,0.2,740mA,1000-OHM @ 100MHz
BLM18KN121EH1,0603,0.03,1.9A,120-OHM @ 100MHz
BLM18KN221EH1,0603,0.05,1.4A,220-OHM @ 100MHz
BLM18KN260EH1,0603,0.007,4A,26-OHM @ 100MHz
BLM18KN300EH1,0603,0.01,2.6A,30-OHM @ 100MHz
BLM18KN331EH1,0603,0.08,1.1A,330-OHM @ 100MHz
BLM18KN471EH1,0603,0.13,920mA,470-OHM @ 100MHz
BLM18KN601EH1,0603,0.15,860mA,600-OHM @ 100MHz
BLM18KN700EH1,0603,0.022,2.2A,70-OHM @ 100MHz
BLM18PG121SH1,0603,0.05,2A,120-OHM @ 100MHz
BLM18PG121SN1,0603,0.05,2A,120-OHM @ 100MHz
BLM18PG121SZ1,0603,0.05,2A,120-OHM @ 100MHz
BLM18PG181SH1,0603,0.09,1.5A,180-OHM @ 100MHz
BLM18PG181SN1,0603,0.09,1.5A,180-OHM @ 100MHz
BLM18PG181SZ1,0603,0.09,1.5A,180-OHM @ 100MHz
BLM18PG221SH1,0603,0.1,1.4A,220-OHM @ 100MHz
BLM18PG221SN1,0603,0.1,1.4A,220-OHM @ 100MHz
BLM18PG221SZ1,0603,0.1,1.4A,220-OHM @ 100MHz
BLM18PG300SH1,0603,0.05,1A,30-OHM @ 100MHz
BLM18PG300SN1,0603,0.05,1A,30-OHM @ 100MHz
BLM18PG300SZ1,0603,0.05,1A,30-OHM @ 100MHz
BLM18PG330SH1,0603,0.025,3A,33-OHM @ 100MHz
BLM18PG330SN1,0603,0.025,3A,33-OHM @ 100MHz
BLM18PG330SZ1,0603,0.025,3A,33-OHM @ 100MHz
BLM18PG331SH1,0603,0.15,1.2A,330-OHM @ 100MHz
BLM18PG331SN1,0603,0.15,1.2A,330-OHM @ 100MHz
BLM18PG331SZ1,0603,0.15,1.2A,330-OHM @ 100MHz
BLM18PG471SH1,0603,0.2,1A,470-OHM @ 100MHz
BLM18PG471SN1,0603,0.2,1A,470-OHM @ 100MHz
BLM18PG471SZ1,0603,0.2,1A,470-OHM @ 100MHz
BLM18PG600SH1,0603,0.1,1A,60-OHM @ 100MHz
BLM18PG600SN1,0603,0.1,1A,60-OHM @ 100MHz
BLM18PG600SZ1,0603,0.1,1A,60-OHM @ 100MHz
BLM18RK102SN1,0603,0.8,200mA,1000-OHM @ 100MHz
BLM18RK121SN1,0603,0.25,200mA,120-OHM @ 100MHz
BLM18RK221SN1,0603,0.3,200mA,220-OHM @ 100MHz
BLM18RK471SN1,0603,0.5,200mA,470-OHM @ 100MHz
BLM18RK601SN1,0603,0.6,200mA,600-OHM @ 100MHz
BLM18SD220SN1,0603,0.008,6A,22-OHM @ 100MHz
BLM18SG121TN1,0603,0.025,3A,120-OHM @ 100MHz
BLM18SG121TZ1,0603,0.025,3A,120-OHM @ 100MHz
BLM18SG221TN1,0603,0.04,2.5A,220-OHM @ 100MHz
BLM18SG221TZ1,0603,0.04,2.5A,220-OHM @ 100MHz
BLM18SG260TN1,0603,0.007,6A,26-OHM @ 100MHz
BLM18SG260TZ1,0603,0.007,6A,26-OHM @ 100MHz
BLM18SG330SN1,0603,0.008,6A,33-OHM @ 100MHz
BLM18SG331TN1,0603,0.07,1.5A,330-OHM @ 100MHz
BLM18SG331TZ1,0603,0.07,1.5A,330-OHM @ 100MHz
BLM18SG700TN1,0603,0.02,4A,70-OHM @ 100MHz
BLM18SG700TZ1,0603,0.02,4A,70-OHM @ 100MHz
BLM18SN220TH1,0603,0.004,8A,22-OHM @ 100MHz
BLM18SN220TN1,0603,0.004,8A,22-OHM @ 100MHz
BLM18SN220TZ1,0603,0.004,8A,22-OHM @ 100MHz
BLM18SP101SH1,0603,0.022,3.7A,100-OHM @ 100MHz
BLM18SP101SN1,0603,0.022,3.7A,100-OHM @ 100MHz
BLM18SP101SZ1,0603,0.022,3.7A,100-OHM @ 100MHz
BLM18SP102SH1,0603,0.185,1.2A,1000-OHM @ 100MHz
BLM18SP102SN1,0603,0.185,1.2A,1000-OHM @ 100MHz
BLM18SP102SZ1,0603,0.185,1.2A,1000-OHM @ 100MHz
BLM18SP221SH1,0603,0.04,2.8A,220-OHM @ 100MHz
BLM18SP221SN1,0603,0.04,2.8A,220-OHM @ 100MHz
BLM18SP221SZ1,0603,0.04,2.8A,220-OHM @ 100MHz
BLM18SP300SH1,0603,0.008,6A,30-OHM @ 100MHz
BLM18SP300SN1,0603,0.008,6A,30-OHM @ 100MHz
BLM18SP300SZ1,0603,0.008,6A,30-OHM @ 100MHz
BLM18SP601SH1,0603,0.14,1.5A,600-OHM @ 100MHz
BLM18SP601SN1,0603,0.14,1.5A,600-OHM @ 100MHz
BLM18SP601SZ1,0603,0.14,1.5A,600-OHM @ 100MHz
BLM31KN102BH1,1206,0.075,1.4A,1000-Ohm @ 100MHz
BLM31KN102SH1,1206,0.075,2A,1000-Ohm @ 100MHz
BLM31KN102SN1,1206,0.075,2A,1000-Ohm @ 100MHz
BLM31KN102SZ1,1206,0.075,2A,1000-Ohm @ 100MHz
BLM31KN121BH1,1206,0.009,4A,120-Ohm @ 100MHz
BLM31KN121SH1,1206,0.009,6A,120-Ohm @ 100MHz
BLM31KN121SN1,1206,0.009,6A,120-Ohm @ 100MHz
BLM31KN121SZ1,1206,0.009,6A,120-Ohm @ 100MHz
BLM31KN271BH1,1206,0.016,3A,270-Ohm @ 100MHz
BLM31KN271SH1,1206,0.016,4.5A,270-Ohm @ 100MHz
BLM31KN271SN1,1206,0.016,4.5A,270-Ohm @ 100MHz
BLM31KN271SZ1,1206,0.016,4.5A,270-Ohm @ 100MHz
BLM31KN471BH1,1206,0.02,2.7A,470-Ohm @ 100MHz
BLM31KN471SH1,1206,0.02,4A,470-Ohm @ 100MHz
BLM31KN471SN1,1206,0.02,4A,470-Ohm @ 100MHz
BLM31KN471SZ1,1206,0.02,4A,470-Ohm @ 100MHz
BLM31KN601BH1,1206,0.038,2A,600-Ohm @ 100MHz
BLM31KN601SH1,1206,0.038,2.9A,600-Ohm @ 100MHz
BLM31KN601SN1,1206,0.038,2.9A,600-Ohm @ 100MHz
BLM31KN601SZ1,1206,0.038,2.9A,600-Ohm @ 100MHz
BLM31KN801BH1,1206,0.05,1.7A,800-Ohm @ 100MHz
BLM31KN801SH1,1206,0.05,2.5A,800-Ohm @ 100MHz
BLM31KN801SN1,1206,0.05,2.5A,800-Ohm @ 100MHz
BLM31KN801SZ1,1206,0.05,2.5A,800-Ohm @ 100MHz
BLM31PG121SH1,1206,0.02,3.5A,120-Ohm @ 100MHz
BLM31PG121SN1,1206,0.02,3.5A,120-Ohm @ 100MHz
BLM31PG121SZ1,1206,0.02,3.5A,120-Ohm @ 100MHz
BLM31PG330SH1,1206,0.009,6A,33-Ohm @ 100MHz
BLM31PG330SN1,1206,0.009,6A,33-Ohm @ 100MHz
BLM31PG330SZ1,1206,0.009,6A,33-Ohm @ 100MHz
BLM31PG391SH1,1206,0.05,2A,390-Ohm @ 100MHz
BLM31PG391SN1,1206,0.05,2A,390-Ohm @ 100MHz
BLM31PG391SZ1,1206,0.05,2A,390-Ohm @ 100MHz
BLM31PG500SH1,1206,0.015,3.5A,50-Ohm @ 100MHz
BLM31PG500SN1,1206,0.015,3.5A,50-Ohm @ 100MHz
BLM31PG500SZ1,1206,0.015,3.5A,50-Ohm @ 100MHz
BLM31PG601SH1,1206,0.08,1.5A,600-Ohm @ 100MHz
BLM31PG601SN1,1206,0.08,1.5A,600-Ohm @ 100MHz
BLM31PG601SZ1,1206,0.08,1.5A,600-Ohm @ 100MHz
BLM31SN500BH1,1206,0.0016,12A,50-Ohm @ 100MHz
BLM31SN500SH1,1206,0.0016,12A,50-Ohm @ 100MHz
BLM31SN500SN1,1206,0.0016,12A,50-Ohm @ 100MHz
BLM31SN500SZ1,1206,0.0016,12A,50-Ohm @ 100MHz
