Catalog / Data Sheet,Part No.,Status,Brand,Apps.,Feature,L x W Size,T(Max.) / mm,Capacitance,Tolerance,Rated Voltage [DC] / V,Temp. Chara.,AEC- Q200
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1v225k050bc.pdf,C1005X5R1V225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.65,2.2μF,±10%,35,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1v474k050bc.pdf,C1005X5R1V474K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,470nF,±10%,35,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x6s0g475m050bc.pdf,C1005X6S0G475M050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.65,4.7μF,±20%,4,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x6s0j225k050bc.pdf,C1005X6S0J225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,2.2μF,±10%,6.3,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x6s1a105k050bc.pdf,C1005X6S1A105K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,1μF,±10%,10,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x6s1a225k050bc.pdf,C1005X6S1A225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.6,2.2μF,±10%,10,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x6s1a474k050bc.pdf,C1005X6S1A474K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,470nF,±10%,10,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x6s1c105k050bc.pdf,C1005X6S1C105K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,1μF,±10%,16,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x6s1c225k050bc.pdf,C1005X6S1C225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.65,2.2μF,±10%,16,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x6s1c474k050bc.pdf,C1005X6S1C474K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,470nF,±10%,16,X6S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1a224k050bb.pdf,C1005X7R1A224K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,220nF,±10%,10,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1c104k050bc.pdf,C1005X7R1C104K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,100nF,±10%,16,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1c224k050bc.pdf,C1005X7R1C224K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,220nF,±10%,16,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1c473k050bc.pdf,C1005X7R1C473K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,47nF,±10%,16,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1e103k050bb.pdf,C1005X7R1E103K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,10nF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1e104k050bb.pdf,C1005X7R1E104K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,100nF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1e223k050bb.pdf,C1005X7R1E223K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,22nF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1e224k050bb_210110.pdf,C1005X7R1E224K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,220nF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1e473k050bc.pdf,C1005X7R1E473K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,47nF,±10%,25,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h102k050ba.pdf,C1005X7R1H102K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,1nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h103k050bb.pdf,C1005X7R1H103K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,10nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h104k050bb.pdf,C1005X7R1H104K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,100nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h221k050ba.pdf,C1005X7R1H221K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,220pF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h222k050ba.pdf,C1005X7R1H222K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,2.2nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h223k050bb.pdf,C1005X7R1H223K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,22nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h471k050ba.pdf,C1005X7R1H471K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,470pF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h472k050ba.pdf,C1005X7R1H472K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,4.7nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h473k050bb.pdf,C1005X7R1H473K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,47nF,±10%,50,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1v103k050bb.pdf,C1005X7R1V103K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,10nF,±10%,35,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1v104k050bb.pdf,C1005X7R1V104K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,100nF,±10%,35,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1v223k050bb.pdf,C1005X7R1V223K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,22nF,±10%,35,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1v224k050bc_210110.pdf,C1005X7R1V224K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,220nF,±10%,35,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1v473k050bb.pdf,C1005X7R1V473K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,47nF,±10%,35,X7R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7s0g225k050bc.pdf,C1005X7S0G225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,2.2μF,±10%,4,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7s0j105k050bc.pdf,C1005X7S0J105K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,1μF,±10%,6.3,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7s0j225k050bc.pdf,C1005X7S0J225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.6,2.2μF,±10%,6.3,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7s1a105k050bc.pdf,C1005X7S1A105K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,1μF,±10%,10,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7s1a225k050bc.pdf,C1005X7S1A225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.65,2.2μF,±10%,10,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7s1a474k050bc.pdf,C1005X7S1A474K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,470nF,±10%,10,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7s1c474k050bc_210105.pdf,C1005X7S1C474K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,470nF,±10%,16,X7S,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h100d080aa.pdf,C1608C0G1H100D080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,10pF,±0.5pF,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h101j080aa.pdf,C1608C0G1H101J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,100pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h102j080aa.pdf,C1608C0G1H102J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h103j080aa.pdf,C1608C0G1H103J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,10nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h152j080aa.pdf,C1608C0G1H152J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1.5nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h220j080aa.pdf,C1608C0G1H220J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,22pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h221j080aa.pdf,C1608C0G1H221J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,220pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h222j080aa.pdf,C1608C0G1H222J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h332j080aa.pdf,C1608C0G1H332J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,3.3nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h470j080aa.pdf,C1608C0G1H470J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,47pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h471j080aa.pdf,C1608C0G1H471J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,470pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h472j080aa.pdf,C1608C0G1H472J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,4.7nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1h682j080aa.pdf,C1608C0G1H682J080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,6.8nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1v153j080ac.pdf,C1608C0G1V153J080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,15nF,±5%,35,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608c0g1v183j080ac.pdf,C1608C0G1V183J080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,18nF,±5%,35,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r0g156m080aa_200817.pdf,C1608X5R0G156M080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,15μF,±20%,4,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r0g226m080aa_200817.pdf,C1608X5R0G226M080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,22μF,±20%,4,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r0j106k080ab.pdf,C1608X5R0J106K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,10μF,±10%,6.3,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r0j156m080ac_200817.pdf,C1608X5R0J156M080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,15μF,±20%,6.3,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r0j226m080ac_200817.pdf,C1608X5R0J226M080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,22μF,±20%,6.3,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1a106k080ac.pdf,C1608X5R1A106K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,10μF,±10%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1a156m080ac_200817.pdf,C1608X5R1A156M080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,15μF,±20%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1a226m080ac_200817.pdf,C1608X5R1A226M080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,22μF,±20%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1c105k080aa.pdf,C1608X5R1C105K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1μF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C1608X5R1C106M080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,10μF,±20%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1c225k080ab.pdf,C1608X5R1C225K080AB,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,2.2μF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1c474k080aa.pdf,C1608X5R1C474K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,470nF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1c475k080ac.pdf,C1608X5R1C475K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,4.7μF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C1608X5R1E105K080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,1μF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1e106m080ac_200817.pdf,C1608X5R1E106M080AC,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],1,10μF,±20%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x5r1e224k080aa.pdf,C1608X5R1E224K080AA,Production,TDK,Commercial Grade,General (Up to 75V),1.6mm x 0.8mm [EIA 0603],0.9,220nF,±10%,25,X5R,NO
